W a:L' U' L U' L' U L U L F' L' F:      .   .   Y\n    +---+---+---+\n  . | Y | Y | . | .\n  Y | . | Y | Y | .\n  Y | . | . | Y | .\n    +---+---+---+\n      .   Y   .\n
W b:R U R' U R U' R' U' R' F R F':      Y   .   .\n    +---+---+---+\n  . | . | Y | Y | .\n  . | Y | Y | . | Y\n  . | Y | . | . | Y\n    +---+---+---+\n      .   Y   .\n
T a:R U R' U' R' F R F':      Y   Y   .\n    +---+---+---+\n  . | . | . | Y | .\n  . | Y | Y | Y | .\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
T b:F R U R' U' F':      .   Y   .\n    +---+---+---+\n  Y | . | . | Y | .\n  . | Y | Y | Y | .\n  Y | . | . | Y | .\n    +---+---+---+\n      .   Y   .\n
Square a:l' U2 L U L' U l:      .   .   .\n    +---+---+---+\n  . | Y | Y | . | Y\n  . | Y | Y | . | Y\n  Y | . | . | . | .\n    +---+---+---+\n      .   Y   Y\n
Square b:r U2 R' U' R U' r':      .   .   .\n    +---+---+---+\n  Y | . | Y | Y | .\n  Y | . | Y | Y | .\n  . | . | . | . | Y\n    +---+---+---+\n      Y   Y   .\n
Z a:r U R' U R U2 r':      Y   .   .\n    +---+---+---+\n  . | . | Y | . | Y\n  . | Y | Y | . | Y\n  . | Y | . | . | .\n    +---+---+---+\n      .   Y   Y\n
Z b:l' U' L U' L' U2 l:      .   .   Y\n    +---+---+---+\n  Y | . | Y | . | .\n  Y | . | Y | Y | .\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
Z c:r U R' U R' F R F' R U2 r':      Y   .   .\n    +---+---+---+\n  . | . | Y | Y | .\n  . | Y | Y | . | Y\n  Y | . | . | . | .\n    +---+---+---+\n      .   Y   Y\n
Z d:M' R' U' R U' R' U2 R U' R r':      .   .   Y\n    +---+---+---+\n  . | Y | Y | . | .\n  Y | . | Y | Y | .\n  . | . | . | . | Y\n    +---+---+---+\n      Y   Y   .\n
Right Angle a:R' U' R' F R F' R' F R F' U R:      Y   .   .\n    +---+---+---+\n  . | . | Y | . | Y\n  Y | . | Y | Y | .\n  . | . | . | . | Y\n    +---+---+---+\n      Y   Y   .\n
Right Angle b:F R U R' U' R U R' U' F':      .   .   Y\n    +---+---+---+\n  Y | . | Y | . | .\n  . | Y | Y | . | Y\n  Y | . | . | . | .\n    +---+---+---+\n      .   Y   Y\n
Right Angle c:r U' r2 U r2 U r2 U' r:      .   .   Y\n    +---+---+---+\n  Y | . | Y | . | .\n  Y | Y | Y | . | .\n  Y | . | . | . | .\n    +---+---+---+\n      .   Y   Y\n
Right Angle d:r' U r2 U' r2 U' r2 U r':      .   Y   Y\n    +---+---+---+\n  Y | . | . | . | .\n  Y | . | Y | Y | .\n  Y | . | Y | . | .\n    +---+---+---+\n      .   .   Y\n
Right Angle e:l' U2 L U L' U' L U L' U l:      Y   .   Y\n    +---+---+---+\n  . | . | Y | . | .\n  Y | . | Y | Y | .\n  . | . | . | . | .\n    +---+---+---+\n      Y   Y   Y\n
Right Angle f:r U2 R' U' R U R' U' R U' r':      Y   .   Y\n    +---+---+---+\n  . | . | Y | . | .\n  . | Y | Y | . | Y\n  . | . | . | . | .\n    +---+---+---+\n      Y   Y   Y\n
P a:R' U' F U R U' R' F' R:      Y   .   .\n    +---+---+---+\n  . | . | Y | Y | .\n  Y | . | Y | Y | .\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
P b:L U F' U' L' U L F L':      .   .   Y\n    +---+---+---+\n  . | Y | Y | . | .\n  . | Y | Y | . | Y\n  . | Y | . | . | .\n    +---+---+---+\n      .   Y   Y\n
P c:F' U' L' U L F:      .   .   .\n    +---+---+---+\n  Y | . | Y | Y | .\n  Y | . | Y | Y | .\n  Y | . | . | Y | .\n    +---+---+---+\n      .   Y   .\n
P d:F U R U' R' F':      .   .   .\n    +---+---+---+\n  . | Y | Y | . | Y\n  . | Y | Y | . | Y\n  . | Y | . | . | Y\n    +---+---+---+\n      .   Y   .\n
L a:F U R U' R2 F' R U R U' R':      Y   Y   .\n    +---+---+---+\n  . | . | . | . | Y\n  . | Y | Y | Y | .\n  . | Y | . | . | .\n    +---+---+---+\n      .   Y   Y\n
L b:R' F R U R' F' R F U' F':      .   Y   Y\n    +---+---+---+\n  Y | . | . | . | .\n  . | Y | Y | Y | .\n  . | . | . | Y | .\n    +---+---+---+\n      Y   Y   .\n
L c:l' U' l L' U' L U l' U l:      .   Y   .\n    +---+---+---+\n  . | Y | . | . | Y\n  . | Y | Y | Y | .\n  Y | . | . | . | .\n    +---+---+---+\n      .   Y   Y\n
L d:r U r' R U R' U' r U' r':      .   Y   .\n    +---+---+---+\n  Y | . | . | Y | .\n  . | Y | Y | Y | .\n  . | . | . | . | Y\n    +---+---+---+\n      Y   Y   .\n
Bar a:F U R U' R' U R U' R' F':      Y   Y   .\n    +---+---+---+\n  . | . | . | . | Y\n  . | Y | Y | Y | .\n  . | . | . | . | Y\n    +---+---+---+\n      Y   Y   .\n
Bar b:R U R' U R U' B U' B' R':      Y   .   .\n    +---+---+---+\n  . | Y | . | . | Y\n  Y | . | Y | . | Y\n  . | . | Y | . | Y\n    +---+---+---+\n      Y   .   .\n
